13:001:001	Adam, Sheth, Enosh,
13:002:002	Dan, Joseph, and Benjamin, Naphtali, Gad, and Asher.
13:002:003	The sons of Judah; Er, and Onan, and Shelah: which three were born unto him of the daughter of Shua the Canaanitess. And Er, the firstborn of Judah, was evil in the sight of the LORD; and he slew him.
13:002:004	And Tamar his daughter in law bore him Pharez and Zerah. All the sons of Judah were five.
13:002:005	The sons of Pharez; Hezron, and Hamul.
13:002:006	And the sons of Zerah; Zimri, and Ethan, and Heman, and Calcol, and Dara: five of them in all.
13:002:007	And the sons of Carmi; Achar, the troubler of Israel, who transgressed in the thing accursed.
13:002:008	And the sons of Ethan; Azariah.
13:002:009	The sons also of Hezron, that were born unto him; Jerahmeel, and Ram, and Chelubai.
13:002:010	And Ram begat Amminadab; and Amminadab begat Nahshon, prince of the children of Judah;
13:002:011	And Nahshon begat Salma, and Salma begat Boaz,
13:002:012	And Boaz begat Obed, and Obed begat Jesse,
13:002:013	And Jesse begat his firstborn Eliab, and Abinadab the second, and Shimma the third,
13:002:014	Nethaneel the fourth, Raddai the fifth,
13:002:015	Ozem the sixth, David the seventh:
13:002:016	Whose sisters were Zeruiah, and Abigail. And the sons of Zeruiah; Abishai, and Joab, and Asahel, three.
13:002:017	And Abigail bare Amasa: and the father of Amasa was Jether the Ishmeelite.
13:002:018	And Caleb the son of Hezron begat children of Azubah his wife, and of Jerioth: her sons are these; Jesher, and Shobab, and Ardon.
13:002:019	And when Azubah was dead, Caleb took unto him Ephrath, which bare him Hur.
13:002:020	And Hur begat Uri, and Uri begat Bezaleel.
13:002:021	And afterward Hezron went in to the daughter of Machir the father of Gilead, whom he married when he was threescore years old; and she bare him Segub.
13:002:022	And Segub begat Jair, who had three and twenty cities in the land of Gilead.
13:002:023	And he took Geshur, and Aram, with the towns of Jair, from them, with Kenath, and the towns thereof, even threescore cities. All these belonged to the sons of Machir the father of Gilead.
13:002:024	And after that Hezron was dead in Calebephratah, then Abiah Hezron's wife bare him Ashur the father of Tekoa.
13:002:025	And the sons of Jerahmeel the firstborn of Hezron were, Ram the firstborn, and Bunah, and Oren, and Ozem, and Ahijah.
13:002:026	Jerahmeel had also another wife, whose name was Atarah; she was the mother of Onam.
13:002:027	And the sons of Ram the firstborn of Jerahmeel were, Maaz, and Jamin, and Eker.
13:002:028	And the sons of Onam were, Shammai, and Jada. And the sons of Shammai; Nadab and Abishur.
13:002:029	And the name of the wife of Abishur was Abihail, and she bare him Ahban, and Molid.
13:002:030	And the sons of Nadab; Seled, and Appaim: but Seled died without children.
13:002:031	And the sons of Appaim; Ishi. And the sons of Ishi; Sheshan. And the children of Sheshan; Ahlai.
13:002:032	And the sons of Jada the brother of Shammai; Jether, and Jonathan: and Jether died without children.
13:002:033	And the sons of Jonathan; Peleth, and Zaza. These were the sons of Jerahmeel.
13:002:034	Now Sheshan had no sons, but daughters. And Sheshan had a servant, an Egyptian, whose name was Jarha.
13:002:035	And Sheshan gave his daughter to Jarha his servant to wife; and she bare him Attai.
13:002:036	And Attai begat Nathan, and Nathan begat Zabad,
13:002:037	And Zabad begat Ephlal, and Ephlal begat Obed,
13:002:038	And Obed begat Jehu, and Jehu begat Azariah,
13:002:039	And Azariah begat Helez, and Helez begat Eleasah,
13:002:040	And Eleasah begat Sisamai, and Sisamai begat Shallum,
13:002:041	And Shallum begat Jekamiah, and Jekamiah begat Elishama.
13:002:042	Now the sons of Caleb the brother of Jerahmeel were, Mesha his firstborn, which was the father of Ziph; and the sons of Mareshah the father of Hebron.
13:002:043	And the sons of Hebron; Korah, and Tappuah, and Rekem, and Shema.
13:002:044	And Shema begat Raham, the father of Jorkoam: and Rekem begat Shammai.
13:002:045	And the son of Shammai was Maon: and Maon was the father of Bethzur.
13:002:046	And Ephah, Caleb's concubine, bare Haran, and Moza, and Gazez: and Haran begat Gazez.
13:002:047	And the sons of Jahdai; Regem, and Jotham, and Gesham, and Pelet, and Ephah, and Shaaph.
13:002:048	Maachah, Caleb's concubine, bare Sheber, and Tirhanah.
13:002:049	She bare also Shaaph the father of Madmannah, Sheva the father of Machbenah, and the father of Gibea: and the daughter of Caleb was Achsa.
13:002:050	These were the sons of Caleb the son of Hur, the firstborn of Ephratah; Shobal the father of Kirjathjearim.
13:002:051	Salma the father of Bethlehem, Hareph the father of Bethgader.
13:002:052	And Shobal the father of Kirjathjearim had sons; Haroeh, and half of the Manahethites.
13:002:053	And the families of Kirjathjearim; the Ithrites, and the Puhites, and the Shumathites, and the Mishraites; of them came the Zareathites, and the Eshtaulites,
13:002:054	The sons of Salma; Bethlehem, and the Netophathites, Ataroth, the house of Joab, and half of the Manahethites, the Zorites.
13:002:055	And the families of the scribes which dwelt at Jabez; the Tirathites, the Shimeathites, and Suchathites. These are the Kenites that came of Hemath, the father of the house of Rechab.
13:003:001	Now these were the sons of David, which were born unto him in Hebron; the firstborn Amnon, of Ahinoam the Jezreelitess; the second Daniel, of Abigail the Carmelitess:
13:003:002	The third, Absalom the son of Maachah the daughter of Talmai king of Geshur: the fourth, Adonijah the son of Haggith:
13:003:003	The fifth, Shephatiah of Abital: the sixth, Ithream by Eglah his wife.
13:003:004	These six were born unto him in Hebron; and there he reigned seven years and six months: and in Jerusalem he reigned thirty and three years.
13:003:005	And these were born unto him in Jerusalem; Shimea, and Shobab, and Nathan, and Solomon, four, of Bathshua the daughter of Ammiel:
13:003:006	Ibhar also, and Elishama, and Eliphelet,
13:003:007	And Nogah, and Nepheg, and Japhia,
13:003:008	And Elishama, and Eliada, and Eliphelet, nine.
13:003:009	These were all the sons of David, beside the sons of the concubines, and Tamar their sister.
13:003:010	And Solomon's son was Rehoboam, Abia his son, Asa his son, Jehoshaphat his son,
13:003:011	Joram his son, Ahaziah his son, Joash his son,
13:003:012	Amaziah his son, Azariah his son, Jotham his son,
13:003:013	Ahaz his son, Hezekiah his son, Manasseh his son,
13:003:014	Amon his son, Josiah his son.
13:003:015	And the sons of Josiah were, the firstborn Johanan, the second Jehoiakim, the third Zedekiah, the fourth Shallum.
13:003:016	And the sons of Jehoiakim: Jeconiah his son, Zedekiah his son.
13:003:017	And the sons of Jeconiah; Assir, Salathiel his son,
13:003:018	Malchiram also, and Pedaiah, and Shenazar, Jecamiah, Hoshama, and Nedabiah.
13:003:019	And the sons of Pedaiah were, Zerubbabel, and Shimei: and the sons of Zerubbabel; Meshullam, and Hananiah, and Shelomith their sister:
13:003:020	And Hashubah, and Ohel, and Berechiah, and Hasadiah, Jushabhesed, five.
13:003:021	And the sons of Hananiah; Pelatiah, and Jesaiah: the sons of Rephaiah, the sons of Arnan, the sons of Obadiah, the sons of Shechaniah.
13:003:022	And the sons of Shechaniah; Shemaiah: and the sons of Shemaiah; Hattush, and Igeal, and Bariah, and Neariah, and Shaphat, six.
13:003:023	And the sons of Neariah; Elioenai, and Hezekiah, and Azrikam, three.
13:003:024	And the sons of Elioenai were, Hodaiah, and Eliashib, and Pelaiah, and Akkub, and Johanan, and Dalaiah, and Anani, seven.
13:004:001	The sons of Judah; Pharez, Hezron, and Carmi, and Hur, and Shobal.
13:004:002	And Reaiah the son of Shobal begat Jahath; and Jahath begat Ahumai, and Lahad. These are the families of the Zorathites.
13:004:003	And these were of the father of Etam; Jezreel, and Ishma, and Idbash: and the name of their sister was Hazelelponi:
13:004:004	And Penuel the father of Gedor, and Ezer the father of Hushah. These are the sons of Hur, the firstborn of Ephratah, the father of Bethlehem.
13:004:005	And Ashur the father of Tekoa had two wives, Helah and Naarah.
13:004:006	And Naarah bare him Ahuzam, and Hepher, and Temeni, and Haahashtari. These were the sons of Naarah.
13:004:007	And the sons of Helah were, Zereth, and Jezoar, and Ethnan.
13:004:008	And Coz begat Anub, and Zobebah, and the families of Aharhel the son of Harum.
13:004:009	And Jabez was more honourable than his brethren: and his mother called his name Jabez, saying, Because I bare him with sorrow.
13:004:010	And Jabez called on the God of Israel, saying, Oh that thou wouldest bless me indeed, and enlarge my coast, and that thine hand might be with me, and that thou wouldest keep me from evil, that it may not grieve me! And God granted him that which he requested.
13:004:011	And Chelub the brother of Shuah begat Mehir, which was the father of Eshton.
13:004:012	And Eshton begat Bethrapha, and Paseah, and Tehinnah the father of Irnahash. These are the men of Rechah.
13:004:013	And the sons of Kenaz; Othniel, and Seraiah: and the sons of Othniel; Hathath.
13:004:014	And Meonothai begat Ophrah: and Seraiah begat Joab, the father of the valley of Charashim; for they were craftsmen.
13:004:015	And the sons of Caleb the son of Jephunneh; Iru, Elah, and Naam: and the sons of Elah, even Kenaz.
13:004:016	And the sons of Jehaleleel; Ziph, and Ziphah, Tiria, and Asareel.
13:004:017	And the sons of Ezra were, Jether, and Mered, and Epher, and Jalon: and she bare Miriam, and Shammai, and Ishbah the father of Eshtemoa.
13:004:018	And his wife Jehudijah bare Jered the father of Gedor, and Heber the father of Socho, and Jekuthiel the father of Zanoah. And these are the sons of Bithiah the daughter of Pharaoh, which Mered took.
13:004:019	And the sons of his wife Hodiah the sister of Naham, the father of Keilah the Garmite, and Eshtemoa the Maachathite.
13:004:020	And the sons of Shimon were, Amnon, and Rinnah, Benhanan, and Tilon. And the sons of Ishi were, Zoheth, and Benzoheth.
13:004:021	The sons of Shelah the son of Judah were, Er the father of Lecah, and Laadah the father of Mareshah, and the families of the house of them that wrought fine linen, of the house of Ashbea,
13:004:022	And Jokim, and the men of Chozeba, and Joash, and Saraph, who had the dominion in Moab, and Jashubilehem. And these are ancient things.
13:004:023	These were the potters, and those that dwelt among plants and hedges: there they dwelt with the king for his work.
13:004:024	The sons of Simeon were, Nemuel, and Jamin, Jarib, Zerah, and Shaul:
13:004:025	Shallum his son, Mibsam his son, Mishma his son.
13:004:026	And the sons of Mishma; Hamuel his son, Zacchur his son, Shimei his son.
13:004:027	And Shimei had sixteen sons and six daughters: but his brethren had not many children, neither did all their family multiply, like to the children of Judah.
13:004:028	And they dwelt at Beersheba, and Moladah, and Hazarshual,
13:004:029	And at Bilhah, and at Ezem, and at Tolad,
13:004:030	And at Bethuel, and at Hormah, and at Ziklag,
13:004:031	And at Bethmarcaboth, and Hazarsusim, and at Bethbirei, and at Shaaraim. These were their cities unto the reign of David.
13:004:032	And their villages were, Etam, and Ain, Rimmon, and Tochen, and Ashan, five cities:
13:004:033	And all their villages that were round about the same cities, unto Baal. These were their habitations, and their genealogy.
13:004:034	And Meshobab, and Jamlech, and Joshah, the son of Amaziah,
13:004:035	And Joel, and Jehu the son of Josibiah, the son of Seraiah, the son of Asiel,
13:004:036	And Elioenai, and Jaakobah, and Jeshohaiah, and Asaiah, and Adiel, and Jesimiel, and Benaiah,
13:004:037	And Ziza the son of Shiphi, the son of Allon, the son of Jedaiah, the son of Shimri, the son of Shemaiah;
13:004:038	These mentioned by their names were princes in their families: and the house of their fathers increased greatly.
13:004:039	And they went to the entrance of Gedor, even unto the east side of the valley, to seek pasture for their flocks.
13:004:040	And they found fat pasture and good, and the land was wide, and quiet, and peaceable; for they of Ham had dwelt there of old.
13:004:041	And these written by name came in the days of Hezekiah king of Judah, and smote their tents, and the habitations that were found there, and destroyed them utterly unto this day, and dwelt in their rooms: because there was pasture there for their flocks.
13:004:042	And some of them, even of the sons of Simeon, five hundred men, went to mount Seir, having for their captains Pelatiah, and Neariah, and Rephaiah, and Uzziel, the sons of Ishi.
13:004:043	And they smote the rest of the Amalekites that were escaped, and dwelt there unto this day.
13:005:001	Now the sons of Reuben the firstborn of Israel, (for he was the firstborn; but forasmuch as he defiled his father's bed, his birthright was given unto the sons of Joseph the son of Israel: and the genealogy is not to be reckoned after the birthright.
13:005:002	For Judah prevailed above his brethren, and of him came the chief ruler; but the birthright was Joseph's:)
13:005:003	The sons, I say, of Reuben the firstborn of Israel were, Hanoch, and Pallu, Hezron, and Carmi.
13:005:004	The sons of Joel; Shemaiah his son, Gog his son, Shimei his son,
13:005:005	Micah his son, Reaia his son, Baal his son,
13:005:006	Beerah his son, whom Tilgathpilneser king of Assyria carried away captive: he was prince of the Reubenites.
13:005:007	And his brethren by their families, when the genealogy of their generations was reckoned, were the chief, Jeiel, and Zechariah,
13:005:008	And Bela the son of Azaz, the son of Shema, the son of Joel, who dwelt in Aroer, even unto Nebo and Baalmeon:
13:005:009	And eastward he inhabited unto the entering in of the wilderness from the river Euphrates: because their cattle were multiplied in the land of Gilead.
13:005:010	And in the days of Saul they made war with the Hagarites, who fell by their hand: and they dwelt in their tents throughout all the east land of Gilead.
13:005:011	And the children of Gad dwelt over against them, in the land of Bashan unto Salcah:
13:005:012	Joel the chief, and Shapham the next, and Jaanai, and Shaphat in Bashan.
13:005:013	And their brethren of the house of their fathers were, Michael, and Meshullam, and Sheba, and Jorai, and Jachan, and Zia, and Heber, seven.
13:005:014	These are the children of Abihail the son of Huri, the son of Jaroah, the son of Gilead, the son of Michael, the son of Jeshishai, the son of Jahdo, the son of Buz;
13:005:015	Ahi the son of Abdiel, the son of Guni, chief of the house of their fathers.
13:005:016	And they dwelt in Gilead in Bashan, and in her towns, and in all the suburbs of Sharon, upon their borders.
13:005:017	All these were reckoned by genealogies in the days of Jotham king of Judah, and in the days of Jeroboam king of Israel.
13:005:018	The sons of Reuben, and the Gadites, and half the tribe of Manasseh, of valiant men, men able to bear buckler and sword, and to shoot with bow, and skilful in war, were four and forty thousand seven hundred and threescore, that went out to the war.
13:005:019	And they made war with the Hagarites, with Jetur, and Nephish, and Nodab.
13:005:020	And they were helped against them, and the Hagarites were delivered into their hand, and all that were with them: for they cried to God in the battle, and he was intreated of them; because they put their trust in him.
13:005:021	And they took away their cattle; of their camels fifty thousand, and of sheep two hundred and fifty thousand, and of asses two thousand, and of men an hundred thousand.
13:005:022	For there fell down many slain, because the war was of God. And they dwelt in their steads until the captivity.
13:005:023	And the children of the half tribe of Manasseh dwelt in the land: they increased from Bashan unto Baalhermon and Senir, and unto mount Hermon.
13:005:024	And these were the heads of the house of their fathers, even Epher, and Ishi, and Eliel, and Azriel, and Jeremiah, and Hodaviah, and Jahdiel, mighty men of valour, famous men, and heads of the house of their fathers.
13:005:025	And they transgressed against the God of their fathers, and went a whoring after the gods of the people of the land, whom God destroyed before them.
13:005:026	And the God of Israel stirred up the spirit of Pul king of Assyria, and the spirit of Tilgathpilneser king of Assyria, and he carried them away, even the Reubenites, and the Gadites, and the half tribe of Manasseh, and brought them unto Halah, and Habor, and Hara, and to the river Gozan, unto this day.
13:006:001	The sons of Levi; Gershon, Kohath, and Merari.
13:006:002	And the sons of Kohath; Amram, Izhar, and Hebron, and Uzziel.
13:006:003	And the children of Amram; Aaron, and Moses, and Miriam. The sons also of Aaron; Nadab, and Abihu, Eleazar, and Ithamar.
13:006:004	Eleazar begat Phinehas, Phinehas begat Abishua,
13:006:005	And Abishua begat Bukki, and Bukki begat Uzzi,
13:006:006	And Uzzi begat Zerahiah, and Zerahiah begat Meraioth,
13:006:007	Meraioth begat Amariah, and Amariah begat Ahitub,
13:006:008	And Ahitub begat Zadok, and Zadok begat Ahimaaz,
13:006:009	And Ahimaaz begat Azariah, and Azariah begat Johanan,
13:006:010	And Johanan begat Azariah, (he it is that executed the priest's office in the temple that Solomon built in Jerusalem:)
13:006:011	And Azariah begat Amariah, and Amariah begat Ahitub,
13:006:012	And Ahitub begat Zadok, and Zadok begat Shallum,
13:006:013	And Shallum begat Hilkiah, and Hilkiah begat Azariah,
13:006:014	And Azariah begat Seraiah, and Seraiah begat Jehozadak,
13:006:015	And Jehozadak went into captivity, when the LORD carried away Judah and Jerusalem by the hand of Nebuchadnezzar.
13:006:016	The sons of Levi; Gershom, Kohath, and Merari.
13:006:017	And these be the names of the sons of Gershom; Libni, and Shimei.
13:006:018	And the sons of Kohath were, Amram, and Izhar, and Hebron, and Uzziel.
13:006:019	The sons of Merari; Mahli, and Mushi. And these are the families of the Levites according to their fathers.
13:006:020	Of Gershom; Libni his son, Jahath his son, Zimmah his son,
13:006:021	Joah his son, Iddo his son, Zerah his son, Jeaterai his son.
13:006:022	The sons of Kohath; Amminadab his son, Korah his son, Assir his son,
13:006:023	Elkanah his son, and Ebiasaph his son, and Assir his son,
13:006:024	Tahath his son, Uriel his son, Uzziah his son, and Shaul his son.
13:006:025	And the sons of Elkanah; Amasai, and Ahimoth.
13:006:026	As for Elkanah: the sons of Elkanah; Zophai his son, and Nahath his son,
13:006:027	Eliab his son, Jeroham his son, Elkanah his son.
13:006:028	And the sons of Samuel; the firstborn Vashni, and Abiah.
13:006:029	The sons of Merari; Mahli, Libni his son, Shimei his son, Uzza his son,
13:006:030	Shimea his son, Haggiah his son, Asaiah his son.
13:006:031	And these are they whom David set over the service of song in the house of the LORD, after that the ark had rest.
13:006:032	And they ministered before the dwelling place of the tabernacle of the congregation with singing, until Solomon had built the house of the LORD in Jerusalem: and then they waited on their office according to their order.
13:006:033	And these are they that waited with their children. Of the sons of the Kohathites: Heman a singer, the son of Joel, the son of Shemuel,
13:006:034	The son of Elkanah, the son of Jeroham, the son of Eliel, the son of Toah,
13:006:035	The son of Zuph, the son of Elkanah, the son of Mahath, the son of Amasai,
13:006:036	The son of Elkanah, the son of Joel, the son of Azariah, the son of Zephaniah,
13:006:037	The son of Tahath, the son of Assir, the son of Ebiasaph, the son of Korah,
13:006:038	The son of Izhar, the son of Kohath, the son of Levi, the son of Israel.
13:006:039	And his brother Asaph, who stood on his right hand, even Asaph the son of Berachiah, the son of Shimea,
13:006:040	The son of Michael, the son of Baaseiah, the son of Malchiah,
13:006:041	The son of Ethni, the son of Zerah, the son of Adaiah,
13:006:042	The son of Ethan, the son of Zimmah, the son of Shimei,
13:006:043	The son of Jahath, the son of Gershom, the son of Levi.
13:006:044	And their brethren the sons of Merari stood on the left hand: Ethan the son of Kishi, the son of Abdi, the son of Malluch,
13:006:045	The son of Hashabiah, the son of Amaziah, the son of Hilkiah,
13:006:046	The son of Amzi, the son of Bani, the son of Shamer,
13:006:047	The son of Mahli, the son of Mushi, the son of Merari, the son of Levi.
13:006:048	Their brethren also the Levites were appointed unto all manner of service of the tabernacle of the house of God.
13:006:049	But Aaron and his sons offered upon the altar of the burnt offering, and on the altar of incense, and were appointed for all the work of the place most holy, and to make an atonement for Israel, according to all that Moses the servant of God had commanded.
13:006:050	And these are the sons of Aaron; Eleazar his son, Phinehas his son, Abishua his son,
13:006:051	Bukki his son, Uzzi his son, Zerahiah his son,
13:006:052	Meraioth his son, Amariah his son, Ahitub his son,
13:006:053	Zadok his son, Ahimaaz his son.
13:006:054	Now these are their dwelling places throughout their castles in their coasts, of the sons of Aaron, of the families of the Kohathites: for theirs was the lot.
13:006:055	And they gave them Hebron in the land of Judah, and the suburbs thereof round about it.
13:006:056	But the fields of the city, and the villages thereof, they gave to Caleb the son of Jephunneh.
13:006:057	And to the sons of Aaron they gave the cities of Judah, namely, Hebron, the city of refuge, and Libnah with her suburbs, and Jattir, and Eshtemoa, with their suburbs,
13:006:058	And Hilen with her suburbs, Debir with her suburbs,
13:006:059	And Ashan with her suburbs, and Bethshemesh with her suburbs:
13:006:060	And out of the tribe of Benjamin; Geba with her suburbs, and Alemeth with her suburbs, and Anathoth with her suburbs. All their cities throughout their families were thirteen cities.
13:006:061	And unto the sons of Kohath, which were left of the family of that tribe, were cities given out of the half tribe, namely, out of the half tribe of Manasseh, by lot, ten cities.
13:006:062	And to the sons of Gershom throughout their families out of the tribe of Issachar, and out of the tribe of Asher, and out of the tribe of Naphtali, and out of the tribe of Manasseh in Bashan, thirteen cities.
13:006:063	Unto the sons of Merari were given by lot, throughout their families, out of the tribe of Reuben, and out of the tribe of Gad, and out of the tribe of Zebulun, twelve cities.
13:006:064	And the children of Israel gave to the Levites these cities with their suburbs.
13:006:065	And they gave by lot out of the tribe of the children of Judah, and out of the tribe of the children of Simeon, and out of the tribe of the children of Benjamin, these cities, which are called by their names.
13:006:066	And the residue of the families of the sons of Kohath had cities of their coasts out of the tribe of Ephraim.
13:006:067	And they gave unto them, of the cities of refuge, Shechem in mount Ephraim with her suburbs; they gave also Gezer with her suburbs,
13:006:068	And Jokmeam with her suburbs, and Bethhoron with her suburbs,
13:006:069	And Aijalon with her suburbs, and Gathrimmon with her suburbs:
13:006:070	And out of the half tribe of Manasseh; Aner with her suburbs, and Bileam with her suburbs, for the family of the remnant of the sons of Kohath.
13:006:071	Unto the sons of Gershom were given out of the family of the half tribe of Manasseh, Golan in Bashan with her suburbs, and Ashtaroth with her suburbs:
13:006:072	And out of the tribe of Issachar; Kedesh with her suburbs, Daberath with her suburbs,
13:006:073	And Ramoth with her suburbs, and Anem with her suburbs:
13:006:074	And out of the tribe of Asher; Mashal with her suburbs, and Abdon with her suburbs,
13:006:075	And Hukok with her suburbs, and Rehob with her suburbs:
13:006:076	And out of the tribe of Naphtali; Kedesh in Galilee with her suburbs, and Hammon with her suburbs, and Kirjathaim with her suburbs.
13:006:077	Unto the rest of the children of Merari were given out of the tribe of Zebulun, Rimmon with her suburbs, Tabor with her suburbs:
13:006:078	And on the other side Jordan by Jericho, on the east side of Jordan, were given them out of the tribe of Reuben, Bezer in the wilderness with her suburbs, and Jahzah with her suburbs,
13:006:079	Kedemoth also with her suburbs, and Mephaath with her suburbs:
13:006:080	And out of the tribe of Gad; Ramoth in Gilead with her suburbs, and Mahanaim with her suburbs,
13:006:081	And Heshbon with her suburbs, and Jazer with her suburbs.
13:007:001	Now the sons of Issachar were, Tola, and Puah, Jashub, and Shimrom, four.
13:007:002	And the sons of Tola; Uzzi, and Rephaiah, and Jeriel, and Jahmai, and Jibsam, and Shemuel, heads of their father's house, to wit, of Tola: they were valiant men of might in their generations; whose number was in the days of David two and twenty thousand and six hundred.
13:007:003	And the sons of Uzzi; Izrahiah: and the sons of Izrahiah; Michael, and Obadiah, and Joel, Ishiah, five: all of them chief men.
13:007:004	And with them, by their generations, after the house of their fathers, were bands of soldiers for war, six and thirty thousand men: for they had many wives and sons.
13:007:005	And their brethren among all the families of Issachar were valiant men of might, reckoned in all by their genealogies fourscore and seven thousand.
13:007:006	The sons of Benjamin; Bela, and Becher, and Jediael, three.
13:007:007	And the sons of Bela; Ezbon, and Uzzi, and Uzziel, and Jerimoth, and Iri, five; heads of the house of their fathers, mighty men of valour; and were reckoned by their genealogies twenty and two thousand and thirty and four.
13:007:008	And the sons of Becher; Zemira, and Joash, and Eliezer, and Elioenai, and Omri, and Jerimoth, and Abiah, and Anathoth, and Alameth. All these are the sons of Becher.
13:007:009	And the number of them, after their genealogy by their generations, heads of the house of their fathers, mighty men of valour, was twenty thousand and two hundred.
13:007:010	The sons also of Jediael; Bilhan: and the sons of Bilhan; Jeush, and Benjamin, and Ehud, and Chenaanah, and Zethan, and Tharshish, and Ahishahar.
13:007:011	All these the sons of Jediael, by the heads of their fathers, mighty men of valour, were seventeen thousand and two hundred soldiers, fit to go out for war and battle.
13:007:012	Shuppim also, and Huppim, the children of Ir, and Hushim, the sons of Aher.
13:007:013	The sons of Naphtali; Jahziel, and Guni, and Jezer, and Shallum, the sons of Bilhah.
13:007:014	The sons of Manasseh; Ashriel, whom she bare: (but his concubine the Aramitess bare Machir the father of Gilead:
13:007:015	And Machir took to wife the sister of Huppim and Shuppim, whose sister's name was Maachah;) and the name of the second was Zelophehad: and Zelophehad had daughters.
13:007:016	And Maachah the wife of Machir bare a son, and she called his name Peresh; and the name of his brother was Sheresh; and his sons were Ulam and Rakem.
