41:001:001	The beginning of the gospel of Jesus Christ, the Son of God;
41:001:035	And in the morning, rising up a great while before day, he went out, and departed into a solitary place, and there prayed.
41:001:036	And Simon and they that were with him followed after him.
41:001:037	And when they had found him, they said unto him, All men seek for thee.
41:001:038	And he said unto them, Let us go into the next towns, that I may preach there also: for therefore came I forth.
41:001:039	And he preached in their synagogues throughout all Galilee, and cast out devils.
41:001:040	And there came a leper to him, beseeching him, and kneeling down to him, and saying unto him, If thou wilt, thou canst make me clean.
41:001:041	And Jesus, moved with compassion, put forth his hand, and touched him, and saith unto him, I will; be thou clean.
41:001:042	And as soon as he had spoken, immediately the leprosy departed from him, and he was cleansed.
41:001:043	And he straitly charged him, and forthwith sent him away;
41:001:044	And saith unto him, See thou say nothing to any man: but go thy way, shew thyself to the priest, and offer for thy cleansing those things which Moses commanded, for a testimony unto them.
41:001:045	But he went out, and began to publish it much, and to blaze abroad the matter, insomuch that Jesus could no more openly enter into the city, but was without in desert places: and they came to him from every quarter.
41:002:001	And again he entered into Capernaum after some days; and it was noised that he was in the house.
41:002:002	And straightway many were gathered together, insomuch that there was no room to receive them, no, not so much as about the door: and he preached the word unto them.
41:002:003	And they come unto him, bringing one sick of the palsy, which was borne of four.
41:002:004	And when they could not come nigh unto him for the press, they uncovered the roof where he was: and when they had broken it up, they let down the bed wherein the sick of the palsy lay.
41:002:005	When Jesus saw their faith, he said unto the sick of the palsy, Son, thy sins be forgiven thee.
41:002:006	But there was certain of the scribes sitting there, and reasoning in their hearts,
41:002:007	Why doth this man thus speak blasphemies? who can forgive sins but God only?
41:002:008	And immediately when Jesus perceived in his spirit that they so reasoned within themselves, he said unto them, Why reason ye these things in your hearts?
41:002:009	Whether is it easier to say to the sick of the palsy, Thy sins be forgiven thee; or to say, Arise, and take up thy bed, and walk?
41:002:010	But that ye may know that the Son of man hath power on earth to forgive sins, (he saith to the sick of the palsy,)
41:002:011	I say unto thee, Arise, and take up thy bed, and go thy way into thine house.
41:002:012	And immediately he arose, took up the bed, and went forth before them all; insomuch that they were all amazed, and glorified God, saying, We never saw it on this fashion.
41:002:013	And he went forth again by the sea side; and all the multitude resorted unto him, and he taught them.
41:002:014	And as he passed by, he saw Levi the son of Alphaeus sitting at the receipt of custom, and said unto him, Follow me. And he arose and followed him.
41:002:015	And it came to pass, that, as Jesus sat at meat in his house, many publicans and sinners sat also together with Jesus and his disciples: for there were many, and they followed him.
41:002:016	And when the scribes and Pharisees saw him eat with publicans and sinners, they said unto his disciples, How is it that he eateth and drinketh with publicans and sinners?
41:002:017	When Jesus heard it, he saith unto them, They that are whole have no need of the physician, but they that are sick: I came not to call the righteous, but sinners to repentance.
41:002:018	And the disciples of John and of the Pharisees used to fast: and they come and say unto him, Why do the disciples of John and of the Pharisees fast, but thy disciples fast not?
41:002:019	And Jesus said unto them, Can the children of the bridechamber fast, while the bridegroom is with them? as long as they have the bridegroom with them, they cannot fast.
41:002:020	But the days will come, when the bridegroom shall be taken away from them, and then shall they fast in those days.
41:002:021	No man also seweth a piece of new cloth on an old garment: else the new piece that filled it up taketh away from the old, and the rent is made worse.
41:002:022	And no man putteth new wine into old bottles: else the new wine doth burst the bottles, and the wine is spilled, and the bottles will be marred: but new wine must be put into new bottles.
41:002:023	And it came to pass, that he went through the corn fields on the sabbath day; and his disciples began, as they went, to pluck the ears of corn.
41:002:024	And the Pharisees said unto him, Behold, why do they on the sabbath day that which is not lawful?
41:002:025	And he said unto them, Have ye never read what David did, when he had need, and was an hungred, he, and they that were with him?
41:002:026	How he went into the house of God in the days of Abiathar the high priest, and did eat the shewbread, which is not lawful to eat but for the priests, and gave also to them which were with him?
41:002:027	And he said unto them, The sabbath was made for man, and not man for the sabbath:
41:002:028	Therefore the Son of man is Lord also of the sabbath.
41:003:001	And he entered again into the synagogue; and there was a man there which had a withered hand.
41:003:002	And they watched him, whether he would heal him on the sabbath day; that they might accuse him.
41:003:003	And he saith unto the man which had the withered hand, Stand forth.
41:003:004	And he saith unto them, Is it lawful to do good on the sabbath days, or to do evil? to save life, or to kill? But they held their peace.
41:003:005	And when he had looked round about on them with anger, being grieved for the hardness of their hearts, he saith unto the man, Stretch forth thine hand. And he stretched it out: and his hand was restored whole as the other.
41:003:006	And the Pharisees went forth, and straightway took counsel with the Herodians against him, how they might destroy him.
41:003:007	But Jesus withdrew himself with his disciples to the sea: and a great multitude from Galilee followed him, and from Judaea,
41:003:008	And from Jerusalem, and from Idumaea, and from beyond Jordan; and they about Tyre and Sidon, a great multitude, when they had heard what great things he did, came unto him.
41:003:009	And he spake to his disciples, that a small ship should wait on him because of the multitude, lest they should throng him.
41:003:010	For he had healed many; insomuch that they pressed upon him for to touch him, as many as had plagues.
41:003:011	And unclean spirits, when they saw him, fell down before him, and cried, saying, Thou art the Son of God.
41:003:012	And he straitly charged them that they should not make him known.
41:003:013	And he goeth up into a mountain, and calleth unto him whom he would: and they came unto him.
41:003:014	And he ordained twelve, that they should be with him, and that he might send them forth to preach,
41:003:015	And to have power to heal sicknesses, and to cast out devils:
41:003:016	And Simon he surnamed Peter;
41:003:017	And James the son of Zebedee, and John the brother of James; and he surnamed them Boanerges, which is, The sons of thunder:
41:003:018	And Andrew, and Philip, and Bartholomew, and Matthew, and Thomas, and James the son of Alphaeus, and Thaddaeus, and Simon the Canaanite,
41:003:019	And Judas Iscariot, which also betrayed him: and they went into an house.
41:003:020	And the multitude cometh together again, so that they could not so much as eat bread.
41:003:021	And when his friends heard of it, they went out to lay hold on him: for they said, He is beside himself.
41:003:022	And the scribes which came down from Jerusalem said, He hath Beelzebub, and by the prince of the devils casteth he out devils.
41:003:023	And he called them unto him, and said unto them in parables, How can Satan cast out Satan?
41:003:024	And if a kingdom be divided against itself, that kingdom cannot stand.
41:003:025	And if a house be divided against itself, that house cannot stand.
41:003:026	And if Satan rise up against himself, and be divided, he cannot stand, but hath an end.
41:003:027	No man can enter into a strong man's house, and spoil his goods, except he will first bind the strong man; and then he will spoil his house.
41:003:028	Verily I say unto you, All sins shall be forgiven unto the sons of men, and blasphemies wherewith soever they shall blaspheme:
41:003:029	But he that shall blaspheme against the Holy Ghost hath never forgiveness, but is in danger of eternal damnation.
41:003:030	Because they said, He hath an unclean spirit.
41:003:031	There came then his brethren and his mother, and, standing without, sent unto him, calling him.
41:003:032	And the multitude sat about him, and they said unto him, Behold, thy mother and thy brethren without seek for thee.
41:003:033	And he answered them, saying, Who is my mother, or my brethren?
41:003:034	And he looked round about on them which sat about him, and said, Behold my mother and my brethren!
41:003:035	For whosoever shall do the will of God, the same is my brother, and my sister, and mother.
41:004:001	And he began again to teach by the sea side: and there was gathered unto him a great multitude, so that he entered into a ship, and sat in the sea; and the whole multitude was by the sea on the land.
41:004:002	And he taught them many things by parables, and said unto them in his doctrine,
41:004:003	Hearken; Behold, there went out a sower to sow:
41:004:004	And it came to pass, as he sowed, some fell by the way side, and the fowls of the air came and devoured it up.
41:004:005	And some fell on stony ground, where it had not much earth; and immediately it sprang up, because it had no depth of earth:
41:004:006	But when the sun was up, it was scorched; and because it had no root, it withered away.
41:004:007	And some fell among thorns, and the thorns grew up, and choked it, and it yielded no fruit.
41:004:008	And other fell on good ground, and did yield fruit that sprang up and increased; and brought forth, some thirty, and some sixty, and some an hundred.
41:004:009	And he said unto them, He that hath ears to hear, let him hear.
41:004:010	And when he was alone, they that were about him with the twelve asked of him the parable.
41:004:011	And he said unto them, Unto you it is given to know the mystery of the kingdom of God: but unto them that are without, all these things are done in parables:
41:004:012	That seeing they may see, and not perceive; and hearing they may hear, and not understand; lest at any time they should be converted, and their sins should be forgiven them.
41:004:013	And he said unto them, Know ye not this parable? and how then will ye know all parables?
41:004:014	The sower soweth the word.
41:004:015	And these are they by the way side, where the word is sown; but when they have heard, Satan cometh immediately, and taketh away the word that was sown in their hearts.
41:004:016	And these are they likewise which are sown on stony ground; who, when they have heard the word, immediately receive it with gladness;
41:004:017	And have no root in themselves, and so endure but for a time: afterward, when affliction or persecution ariseth for the word's sake, immediately they are offended.
41:004:018	And these are they which are sown among thorns; such as hear the word,
41:004:019	And the cares of this world, and the deceitfulness of riches, and the lusts of other things entering in, choke the word, and it becometh unfruitful.
41:004:020	And these are they which are sown on good ground; such as hear the word, and receive it, and bring forth fruit, some thirtyfold, some sixty, and some an hundred.
41:004:021	And he said unto them, Is a candle brought to be put under a bushel, or under a bed? and not to be set on a candlestick?
41:004:022	For there is nothing hid, which shall not be manifested; neither was any thing kept secret, but that it should come abroad.
41:004:023	If any man have ears to hear, let him hear.
41:004:024	And he said unto them, Take heed what ye hear: with what measure ye mete, it shall be measured to you: and unto you that hear shall more be given.
41:004:025	For he that hath, to him shall be given: and he that hath not, from him shall be taken even that which he hath.
41:004:026	And he said, So is the kingdom of God, as if a man should cast seed into the ground;
41:004:027	And should sleep, and rise night and day, and the seed should spring and grow up, he knoweth not how.
41:004:028	For the earth bringeth forth fruit of herself; first the blade, then the ear, after that the full corn in the ear.
41:004:029	But when the fruit is brought forth, immediately he putteth in the sickle, because the harvest is come.
41:004:030	And he said, Whereunto shall we liken the kingdom of God? or with what comparison shall we compare it?
41:004:031	It is like a grain of mustard seed, which, when it is sown in the earth, is less than all the seeds that be in the earth:
41:004:032	But when it is sown, it groweth up, and becometh greater than all herbs, and shooteth out great branches; so that the fowls of the air may lodge under the shadow of it.
41:004:033	And with many such parables spake he the word unto them, as they were able to hear it.
41:004:034	But without a parable spake he not unto them: and when they were alone, he expounded all things to his disciples.
41:004:035	And the same day, when the even was come, he saith unto them, Let us pass over unto the other side.
41:004:036	And when they had sent away the multitude, they took him even as he was in the ship. And there were also with him other little ships.
41:004:037	And there arose a great storm of wind, and the waves beat into the ship, so that it was now full.
41:004:038	And he was in the hinder part of the ship, asleep on a pillow: and they awake him, and say unto him, Master, carest thou not that we perish?
41:004:039	And he arose, and rebuked the wind, and said unto the sea, Peace, be still. And the wind ceased, and there was a great calm.
41:004:040	And he said unto them, Why are ye so fearful? how is it that ye have no faith?
41:004:041	And they feared exceedingly, and said one to another, What manner of man is this, that even the wind and the sea obey him?
41:005:001	And they came over unto the other side of the sea, into the country of the Gadarenes.
41:005:002	And when he was come out of the ship, immediately there met him out of the tombs a man with an unclean spirit,
41:005:003	Who had his dwelling among the tombs; and no man could bind him, no, not with chains:
41:005:004	Because that he had been often bound with fetters and chains, and the chains had been plucked asunder by him, and the fetters broken in pieces: neither could any man tame him.
41:005:005	And always, night and day, he was in the mountains, and in the tombs, crying, and cutting himself with stones.
41:005:006	But when he saw Jesus afar off, he ran and worshipped him,
41:005:007	And cried with a loud voice, and said, What have I to do with thee, Jesus, thou Son of the most high God? I adjure thee by God, that thou torment me not.
41:005:008	For he said unto him, Come out of the man, thou unclean spirit.
41:005:009	And he asked him, What is thy name? And he answered, saying, My name is Legion: for we are many.
41:005:010	And he besought him much that he would not send them away out of the country.
41:005:011	Now there was there nigh unto the mountains a great herd of swine feeding.
41:005:012	And all the devils besought him, saying, Send us into the swine, that we may enter into them.
41:005:013	And forthwith Jesus gave them leave. And the unclean spirits went out, and entered into the swine: and the herd ran violently down a steep place into the sea, (they were about two thousand;) and were choked in the sea.
41:005:014	And they that fed the swine fled, and told it in the city, and in the country. And they went out to see what it was that was done.
41:005:015	And they come to Jesus, and see him that was possessed with the devil, and had the legion, sitting, and clothed, and in his right mind: and they were afraid.
41:005:016	And they that saw it told them how it befell to him that was possessed with the devil, and also concerning the swine.
41:005:017	And they began to pray him to depart out of their coasts.
41:005:018	And when he was come into the ship, he that had been possessed with the devil prayed him that he might be with him.
41:005:019	Howbeit Jesus suffered him not, but saith unto him, Go home to thy friends, and tell them how great things the Lord hath done for thee, and hath had compassion on thee.
41:005:020	And he departed, and began to publish in Decapolis how great things Jesus had done for him: and all men did marvel.
41:005:021	And when Jesus was passed over again by ship unto the other side, much people gathered unto him: and he was nigh unto the sea.
41:005:022	And, behold, there cometh one of the rulers of the synagogue, Jairus by name; and when he saw him, he fell at his feet,
41:005:023	And besought him greatly, saying, My little daughter lieth at the point of death: I pray thee, come and lay thy hands on her, that she may be healed; and she shall live.
41:005:024	And Jesus went with him; and much people followed him, and thronged him.
41:005:025	And a certain woman, which had an issue of blood twelve years,
41:005:026	And had suffered many things of many physicians, and had spent all that she had, and was nothing bettered, but rather grew worse,
41:005:027	When she had heard of Jesus, came in the press behind, and touched his garment.
41:005:028	For she said, If I may touch but his clothes, I shall be whole.
41:005:029	And straightway the fountain of her blood was dried up; and she felt in her body that she was healed of that plague.
41:005:030	And Jesus, immediately knowing in himself that virtue had gone out of him, turned him about in the press, and said, Who touched my clothes?
41:005:031	And his disciples said unto him, Thou seest the multitude thronging thee, and sayest thou, Who touched me?
41:005:032	And he looked round about to see her that had done this thing.
41:005:033	But the woman fearing and trembling, knowing what was done in her, came and fell down before him, and told him all the truth.
41:005:034	And he said unto her, Daughter, thy faith hath made thee whole; go in peace, and be whole of thy plague.
41:005:035	While he yet spake, there came from the ruler of the synagogue's house certain which said, Thy daughter is dead: why troublest thou the Master any further?
41:005:036	As soon as Jesus heard the word that was spoken, he saith unto the ruler of the synagogue, Be not afraid, only believe.
41:005:037	And he suffered no man to follow him, save Peter, and James, and John the brother of James.
41:005:038	And he cometh to the house of the ruler of the synagogue, and seeth the tumult, and them that wept and wailed greatly.
41:005:039	And when he was come in, he saith unto them, Why make ye this ado, and weep? the damsel is not dead, but sleepeth.
41:005:040	And they laughed him to scorn. But when he had put them all out, he taketh the father and the mother of the damsel, and them that were with him, and entereth in where the damsel was lying.
41:005:041	And he took the damsel by the hand, and said unto her, Talitha cumi; which is, being interpreted, Damsel, I say unto thee, arise.
41:005:042	And straightway the damsel arose, and walked; for she was of the age of twelve years. And they were astonished with a great astonishment.
41:005:043	And he charged them straitly that no man should know it; and commanded that something should be given her to eat.
41:006:001	And he went out from thence, and came into his own country; and his disciples follow him.
41:006:002	And when the sabbath day was come, he began to teach in the synagogue: and many hearing him were astonished, saying, From whence hath this man these things? and what wisdom is this which is given unto him, that even such mighty works are wrought by his hands?
41:006:003	Is not this the carpenter, the son of Mary, the brother of James, and Joses, and of Juda, and Simon? and are not his sisters here with us? And they were offended at him.
41:006:004	But Jesus, said unto them, A prophet is not without honour, but in his own country, and among his own kin, and in his own house.
41:006:005	And he could there do no mighty work, save that he laid his hands upon a few sick folk, and healed them.
41:006:006	And he marvelled because of their unbelief. And he went round about the villages, teaching.
41:006:007	And he called unto him the twelve, and began to send them forth by two and two; and gave them power over unclean spirits;
41:006:008	And commanded them that they should take nothing for their journey, save a staff only; no scrip, no bread, no money in their purse:
41:006:009	But be shod with sandals; and not put on two coats.
41:006:010	And he said unto them, In what place soever ye enter into an house, there abide till ye depart from that place.
41:006:011	And whosoever shall not receive you, nor hear you, when ye depart thence, shake off the dust under your feet for a testimony against them. Verily I say unto you, It shall be more tolerable for Sodom and Gomorrha in the day of judgment, than for that city.
41:006:012	And they went out, and preached that men should repent.
41:006:013	And they cast out many devils, and anointed with oil many that were sick, and healed them.
41:006:014	And king Herod heard of him; (for his name was spread abroad:) and he said, That John the Baptist was risen from the dead, and therefore mighty works do shew forth themselves in him.
41:006:015	Others said, That it is Elias. And others said, That it is a prophet, or as one of the prophets.
41:006:016	But when Herod heard thereof, he said, It is John, whom I beheaded: he is risen from the dead.
41:006:017	For Herod himself had sent forth and laid hold upon John, and bound him in prison for Herodias' sake, his brother Philip's wife: for he had married her.
41:006:018	For John had said unto Herod, It is not lawful for thee to have thy brother's wife.
41:006:019	Therefore Herodias had a quarrel against him, and would have killed him; but she could not:
41:006:020	For Herod feared John, knowing that he was a just man and an holy, and observed him; and when he heard him, he did many things, and heard him gladly.
41:006:021	And when a convenient day was come, that Herod on his birthday made a supper to his lords, high captains, and chief estates of Galilee;
41:006:022	And when the daughter of the said Herodias came in, and danced, and pleased Herod and them that sat with him, the king said unto the damsel, Ask of me whatsoever thou wilt, and I will give it thee.
41:006:023	And he sware unto her, Whatsoever thou shalt ask of me, I will give it thee, unto the half of my kingdom.
41:006:024	And she went forth, and said unto her mother, What shall I ask? And she said, The head of John the Baptist.
41:006:025	And she came in straightway with haste unto the king, and asked, saying, I will that thou give me by and by in a charger the head of John the Baptist.
41:006:026	And the king was exceeding sorry; yet for his oath's sake, and for their sakes which sat with him, he would not reject her.
41:006:027	And immediately the king sent an executioner, and commanded his head to be brought: and he went and beheaded him in the prison,
41:006:028	And brought his head in a charger, and gave it to the damsel: and the damsel gave it to her mother.
41:006:029	And when his disciples heard of it, they came and took up his corpse, and laid it in a tomb.
41:006:030	And the apostles gathered themselves together unto Jesus, and told him all things, both what they had done, and what they had taught.
41:006:031	And he said unto them, Come ye yourselves apart into a desert place, and rest a while: for there were many coming and going, and they had no leisure so much as to eat.
41:006:032	And they departed into a desert place by ship privately.
41:006:033	And the people saw them departing, and many knew him, and ran afoot thither out of all cities, and outwent them, and came together unto him.
41:006:034	And Jesus, when he came out, saw much people, and was moved with compassion toward them, because they were as sheep not having a shepherd: and he began to teach them many things.
41:006:035	And when the day was now far spent, his disciples came unto him, and said, This is a desert place, and now the time is far passed:
41:006:036	Send them away, that they may go into the country round about, and into the villages, and buy themselves bread: for they have nothing to eat.
41:006:037	He answered and said unto them, Give ye them to eat. And they say unto him, Shall we go and buy two hundred pennyworth of bread, and give them to eat?
41:006:038	He saith unto them, How many loaves have ye? go and see. And when they knew, they say, Five, and two fishes.
41:006:039	And he commanded them to make all sit down by companies upon the green grass.
41:006:040	And they sat down in ranks, by hundreds, and by fifties.
41:006:041	And when he had taken the five loaves and the two fishes, he looked up to heaven, and blessed, and brake the loaves, and gave them to his disciples to set before them; and the two fishes divided he among them all.
41:006:042	And they did all eat, and were filled.
41:006:043	And they took up twelve baskets full of the fragments, and of the fishes.
41:006:044	And they that did eat of the loaves were about five thousand men.
41:006:045	And straightway he constrained his disciples to get into the ship, and to go to the other side before unto Bethsaida, while he sent away the people.
41:006:046	And when he had sent them away, he departed into a mountain to pray.
41:006:047	And when even was come, the ship was in the midst of the sea, and he alone on the land.
41:006:048	And he saw them toiling in rowing; for the wind was contrary unto them: and about the fourth watch of the night he cometh unto them, walking upon the sea, and would have passed by them.
41:006:049	But when they saw him walking upon the sea, they supposed it had been a spirit, and cried out:
41:006:050	For they all saw him, and were troubled. And immediately he talked with them, and saith unto them, Be of good cheer: it is I; be not afraid.
41:006:051	And he went up unto them into the ship; and the wind ceased: and they were sore amazed in themselves beyond measure, and wondered.
41:006:052	For they considered not the miracle of the loaves: for their heart was hardened.
41:006:053	And when they had passed over, they came into the land of Gennesaret, and drew to the shore.
41:006:054	And when they were come out of the ship, straightway they knew him,
41:006:055	And ran through that whole region round about, and began to carry about in beds those that were sick, where they heard he was.
41:006:056	And whithersoever he entered, into villages, or cities, or country, they laid the sick in the streets, and besought him that they might touch if it were but the border of his garment: and as many as touched him were made whole.
41:007:001	Then came together unto him the Pharisees, and certain of the scribes, which came from Jerusalem.
41:007:002	And when they saw some of his disciples eat bread with defiled, that is to say, with unwashen, hands, they found fault.
41:007:003	For the Pharisees, and all the Jews, except they wash their hands oft, eat not, holding the tradition of the elders.
41:007:004	And when they come from the market, except they wash, they eat not. And many other things there be, which they have received to hold, as the washing of cups, and pots, brasen vessels, and of tables.
41:007:005	Then the Pharisees and scribes asked him, Why walk not thy disciples according to the tradition of the elders, but eat bread with unwashen hands?
41:007:006	He answered and said unto them, Well hath Esaias prophesied of you hypocrites, as it is written, This people honoureth me with their lips, but their heart is far from me.
41:007:007	Howbeit in vain do they worship me, teaching for doctrines the commandments of men.
41:007:008	For laying aside the commandment of God, ye hold the tradition of men, as the washing of pots and cups: and many other such like things ye do.
41:007:009	And he said unto them, Full well ye reject the commandment of God, that ye may keep your own tradition.
41:007:010	For Moses said, Honour thy father and thy mother; and, Whoso curseth father or mother, let him die the death:
41:007:011	But ye say, If a man shall say to his father or mother, It is Corban, that is to say, a gift, by whatsoever thou mightest be profited by me; he shall be free.
41:007:012	And ye suffer him no more to do ought for his father or his mother;
41:007:013	Making the word of God of none effect through your tradition, which ye have delivered: and many such like things do ye.
41:007:014	And when he had called all the people unto him, he said unto them, Hearken unto me every one of you, and understand:
41:007:015	There is nothing from without a man, that entering into him can defile him: but the things which come out of him, those are they that defile the man.
41:007:016	If any man have ears to hear, let him hear.
41:007:017	And when he was entered into the house from the people, his disciples asked him concerning the parable.
41:007:018	And he saith unto them, Are ye so without understanding also? Do ye not perceive, that whatsoever thing from without entereth into the man, it cannot defile him;
41:007:019	Because it entereth not into his heart, but into the belly, and goeth out into the draught, purging all meats?
41:007:020	And he said, That which cometh out of the man, that defileth the man.
41:007:021	For from within, out of the heart of men, proceed evil thoughts, adulteries, fornications, murders,
41:007:022	Thefts, covetousness, wickedness, deceit, lasciviousness, an evil eye, blasphemy, pride, foolishness:
41:007:023	All these evil things come from within, and defile the man.
41:007:024	And from thence he arose, and went into the borders of Tyre and Sidon, and entered into an house, and would have no man know it: but he could not be hid.
41:007:025	For a certain woman, whose young daughter had an unclean spirit, heard of him, and came and fell at his feet:
41:007:026	The woman was a Greek, a Syrophenician by nation; and she besought him that he would cast forth the devil out of her daughter.
41:007:027	But Jesus said unto her, Let the children first be filled: for it is not meet to take the children's bread, and to cast it unto the dogs.
41:007:028	And she answered and said unto him, Yes, Lord: yet the dogs under the table eat of the children's crumbs.
41:007:029	And he said unto her, For this saying go thy way; the devil is gone out of thy daughter.
41:007:030	And when she was come to her house, she found the devil gone out, and her daughter laid upon the bed.
41:007:031	And again, departing from the coasts of Tyre and Sidon, he came unto the sea of Galilee, through the midst of the coasts of Decapolis.
41:007:032	And they bring unto him one that was deaf, and had an impediment in his speech; and they beseech him to put his hand upon him.
41:007:033	And he took him aside from the multitude, and put his fingers into his ears, and he spit, and touched his tongue;
41:007:034	And looking up to heaven, he sighed, and saith unto him, Ephphatha, that is, Be opened.
41:007:035	And straightway his ears were opened, and the string of his tongue was loosed, and he spake plain.
41:007:036	And he charged them that they should tell no man: but the more he charged them, so much the more a great deal they published it;
41:007:037	And were beyond measure astonished, saying, He hath done all things well: he maketh both the deaf to hear, and the dumb to speak.
41:008:001	In those days the multitude being very great, and having nothing to eat, Jesus called his disciples unto him, and saith unto them,
41:008:002	I have compassion on the multitude, because they have now been with me three days, and have nothing to eat:
41:008:003	And if I send them away fasting to their own houses, they will faint by the way: for divers of them came from far.
41:008:004	And his disciples answered him, From whence can a man satisfy these men with bread here in the wilderness?
41:008:005	And he asked them, How many loaves have ye? And they said, Seven.
41:008:006	And he commanded the people to sit down on the ground: and he took the seven loaves, and gave thanks, and brake, and gave to his disciples to set before them; and they did set them before the people.
41:008:007	And they had a few small fishes: and he blessed, and commanded to set them also before them.
41:008:008	So they did eat, and were filled: and they took up of the broken meat that was left seven baskets.
41:008:009	And they that had eaten were about four thousand: and he sent them away.
41:008:010	And straightway he entered into a ship with his disciples, and came into the parts of Dalmanutha.
41:008:011	And the Pharisees came forth, and began to question with him, seeking of him a sign from heaven, tempting him.
41:008:012	And he sighed deeply in his spirit, and saith, Why doth this generation seek after a sign? verily I say unto you, There shall no sign be given unto this generation.
41:008:013	And he left them, and entering into the ship again departed to the other side.
41:008:014	Now the disciples had forgotten to take bread, neither had they in the ship with them more than one loaf.
41:008:015	And he charged them, saying, Take heed, beware of the leaven of the Pharisees, and of the leaven of Herod.
41:008:016	And they reasoned among themselves, saying, It is because we have no bread.
41:008:017	And when Jesus knew it, he saith unto them, Why reason ye, because ye have no bread? perceive ye not yet, neither understand? have ye your heart yet hardened?
41:008:018	Having eyes, see ye not? and having ears, hear ye not? and do ye not remember?
41:008:019	When I brake the five loaves among five thousand, how many baskets full of fragments took ye up? They say unto him, Twelve.
41:008:020	And when the seven among four thousand, how many baskets full of fragments took ye up? And they said, Seven.
41:008:021	And he said unto them, How is it that ye do not understand?
41:008:022	And he cometh to Bethsaida; and they bring a blind man unto him, and besought him to touch him.
41:008:023	And he took the blind man by the hand, and led him out of the town; and when he had spit on his eyes, and put his hands upon him, he asked him if he saw ought.
41:008:024	And he looked up, and said, I see men as trees, walking.
41:008:025	After that he put his hands again upon his eyes, and made him look up: and he was restored, and saw every man clearly.
41:008:026	And he sent him away to his house, saying, Neither go into the town, nor tell it to any in the town.
41:008:027	And Jesus went out, and his disciples, into the towns of Caesarea Philippi: and by the way he asked his disciples, saying unto them, Whom do men say that I am?
41:008:028	And they answered, John the Baptist; but some say, Elias; and others, One of the prophets.
41:008:029	And he saith unto them, But whom say ye that I am? And Peter answereth and saith unto him, Thou art the Christ.
41:008:030	And he charged them that they should tell no man of him.
41:008:031	And he began to teach them, that the Son of man must suffer many things, and be rejected of the elders, and of the chief priests, and scribes, and be killed, and after three days rise again.
41:008:032	And he spake that saying openly. And Peter took him, and began to rebuke him.
