45:001:001	Paul, a servant of Jesus Christ, called to be an apostle, separated unto the gospel of God,
45:012:002	And be not conformed to this world: but be ye transformed by the renewing of your mind, that ye may prove what is that good, and acceptable, and perfect, will of God.
45:012:003	For I say, through the grace given unto me, to every man that is among you, not to think of himself more highly than he ought to think; but to think soberly, according as God hath dealt to every man the measure of faith.
45:012:004	For as we have many members in one body, and all members have not the same office:
45:012:005	So we, being many, are one body in Christ, and every one members one of another.
45:012:006	Having then gifts differing according to the grace that is given to us, whether prophecy, let us prophesy according to the proportion of faith;
45:012:007	Or ministry, let us wait on our ministering: or he that teacheth, on teaching;
45:012:008	Or he that exhorteth, on exhortation: he that giveth, let him do it with simplicity; he that ruleth, with diligence; he that sheweth mercy, with cheerfulness.
45:012:009	Let love be without dissimulation. Abhor that which is evil; cleave to that which is good.
45:012:010	Be kindly affectioned one to another with brotherly love; in honour preferring one another;
45:012:011	Not slothful in business; fervent in spirit; serving the Lord;
45:012:012	Rejoicing in hope; patient in tribulation; continuing instant in prayer;
45:012:013	Distributing to the necessity of saints; given to hospitality.
45:012:014	Bless them which persecute you: bless, and curse not.
45:012:015	Rejoice with them that do rejoice, and weep with them that weep.
45:012:016	Be of the same mind one toward another. Mind not high things, but condescend to men of low estate. Be not wise in your own conceits.
45:012:017	Recompense to no man evil for evil. Provide things honest in the sight of all men.
45:012:018	If it be possible, as much as lieth in you, live peaceably with all men.
45:012:019	Dearly beloved, avenge not yourselves, but rather give place unto wrath: for it is written, Vengeance is mine; I will repay, saith the Lord.
45:012:020	Therefore if thine enemy hunger, feed him; if he thirst, give him drink: for in so doing thou shalt heap coals of fire on his head.
45:012:021	Be not overcome of evil, but overcome evil with good.
45:013:001	Let every soul be subject unto the higher powers. For there is no power but of God: the powers that be are ordained of God.
45:013:002	Whosoever therefore resisteth the power, resisteth the ordinance of God: and they that resist shall receive to themselves damnation.
45:013:003	For rulers are not a terror to good works, but to the evil. Wilt thou then not be afraid of the power? do that which is good, and thou shalt have praise of the same:
45:013:004	For he is the minister of God to thee for good. But if thou do that which is evil, be afraid; for he beareth not the sword in vain: for he is the minister of God, a revenger to execute wrath upon him that doeth evil.
45:013:005	Wherefore ye must needs be subject, not only for wrath, but also for conscience sake.
45:013:006	For for this cause pay ye tribute also: for they are God's ministers, attending continually upon this very thing.
45:013:007	Render therefore to all their dues: tribute to whom tribute is due; custom to whom custom; fear to whom fear; honour to whom honour.
45:013:008	Owe no man any thing, but to love one another: for he that loveth another hath fulfilled the law.
45:013:009	For this, Thou shalt not commit adultery, Thou shalt not kill, Thou shalt not steal, Thou shalt not bear false witness, Thou shalt not covet; and if there be any other commandment, it is briefly comprehended in this saying, namely, Thou shalt love thy neighbour as thyself.
45:013:010	Love worketh no ill to his neighbour: therefore love is the fulfilling of the law.
45:013:011	And that, knowing the time, that now it is high time to awake out of sleep: for now is our salvation nearer than when we believed.
45:013:012	The night is far spent, the day is at hand: let us therefore cast off the works of darkness, and let us put on the armour of light.
45:013:013	Let us walk honestly, as in the day; not in rioting and drunkenness, not in chambering and wantonness, not in strife and envying.
45:013:014	But put ye on the Lord Jesus Christ, and make not provision for the flesh, to fulfil the lusts thereof.
45:014:001	Him that is weak in the faith receive ye, but not to doubtful disputations.
45:014:002	For one believeth that he may eat all things: another, who is weak, eateth herbs.
45:014:003	Let not him that eateth despise him that eateth not; and let not him which eateth not judge him that eateth: for God hath received him.
45:014:004	Who art thou that judgest another man's servant? to his own master he standeth or falleth. Yea, he shall be holden up: for God is able to make him stand.
45:014:005	One man esteemeth one day above another: another esteemeth every day alike. Let every man be fully persuaded in his own mind.
45:014:006	He that regardeth the day, regardeth it unto the Lord; and he that regardeth not the day, to the Lord he doth not regard it. He that eateth, eateth to the Lord, for he giveth God thanks; and he that eateth not, to the Lord he eateth not, and giveth God thanks.
45:014:007	For none of us liveth to himself, and no man dieth to himself.
45:014:008	For whether we live, we live unto the Lord; and whether we die, we die unto the Lord: whether we live therefore, or die, we are the Lord's.
45:014:009	For to this end Christ both died, and rose, and revived, that he might be Lord both of the dead and living.
45:014:010	But why dost thou judge thy brother? or why dost thou set at nought thy brother? for we shall all stand before the judgment seat of Christ.
45:014:011	For it is written, As I live, saith the Lord, every knee shall bow to me, and every tongue shall confess to God.
45:014:012	So then every one of us shall give account of himself to God.
45:014:013	Let us not therefore judge one another any more: but judge this rather, that no man put a stumblingblock or an occasion to fall in his brother's way.
45:014:014	I know, and am persuaded by the Lord Jesus, that there is nothing unclean of itself: but to him that esteemeth any thing to be unclean, to him it is unclean.
45:014:015	But if thy brother be grieved with thy meat, now walkest thou not charitably. Destroy not him with thy meat, for whom Christ died.
45:014:016	Let not then your good be evil spoken of:
45:014:017	For the kingdom of God is not meat and drink; but righteousness, and peace, and joy in the Holy Ghost.
45:014:018	For he that in these things serveth Christ is acceptable to God, and approved of men.
45:014:019	Let us therefore follow after the things which make for peace, and things wherewith one may edify another.
45:014:020	For meat destroy not the work of God. All things indeed are pure; but it is evil for that man who eateth with offence.
45:014:021	It is good neither to eat flesh, nor to drink wine, nor any thing whereby thy brother stumbleth, or is offended, or is made weak.
45:014:022	Hast thou faith? have it to thyself before God. Happy is he that condemneth not himself in that thing which he alloweth.
45:014:023	And he that doubteth is damned if he eat, because he eateth not of faith: for whatsoever is not of faith is sin.
45:015:001	We then that are strong ought to bear the infirmities of the weak, and not to please ourselves.
45:015:002	Let every one of us please his neighbour for his good to edification.
45:015:003	For even Christ pleased not himself; but, as it is written, The reproaches of them that reproached thee fell on me.
45:015:004	For whatsoever things were written aforetime were written for our learning, that we through patience and comfort of the scriptures might have hope.
45:015:005	Now the God of patience and consolation grant you to be likeminded one toward another according to Christ Jesus:
45:015:006	That ye may with one mind and one mouth glorify God, even the Father of our Lord Jesus Christ.
45:015:007	Wherefore receive ye one another, as Christ also received us to the glory of God.
45:015:008	Now I say that Jesus Christ was a minister of the circumcision for the truth of God, to confirm the promises made unto the fathers:
45:015:009	And that the Gentiles might glorify God for his mercy; as it is written, For this cause I will confess to thee among the Gentiles, and sing unto thy name.
45:015:010	And again he saith, Rejoice, ye Gentiles, with his people.
45:015:011	And again, Praise the Lord, all ye Gentiles; and laud him, all ye people.
45:015:012	And again, Esaias saith, There shall be a root of Jesse, and he that shall rise to reign over the Gentiles; in him shall the Gentiles trust.
45:015:013	Now the God of hope fill you with all joy and peace in believing, that ye may abound in hope, through the power of the Holy Ghost.
45:015:014	And I myself also am persuaded of you, my brethren, that ye also are full of goodness, filled with all knowledge, able also to admonish one another.
45:015:015	Nevertheless, brethren, I have written the more boldly unto you in some sort, as putting you in mind, because of the grace that is given to me of God,
45:015:016	That I should be the minister of Jesus Christ to the Gentiles, ministering the gospel of God, that the offering up of the Gentiles might be acceptable, being sanctified by the Holy Ghost.
45:015:017	I have therefore whereof I may glory through Jesus Christ in those things which pertain to God.
45:015:018	For I will not dare to speak of any of those things which Christ hath not wrought by me, to make the Gentiles obedient, by word and deed,
45:015:019	Through mighty signs and wonders, by the power of the Spirit of God; so that from Jerusalem, and round about unto Illyricum, I have fully preached the gospel of Christ.
45:015:020	Yea, so have I strived to preach the gospel, not where Christ was named, lest I should build upon another man's foundation:
45:015:021	But as it is written, To whom he was not spoken of, they shall see: and they that have not heard shall understand.
45:015:022	For which cause also I have been much hindered from coming to you.
45:015:023	But now having no more place in these parts, and having a great desire these many years to come unto you;
45:015:024	Whensoever I take my journey into Spain, I will come to you: for I trust to see you in my journey, and to be brought on my way thitherward by you, if first I be somewhat filled with your company.
45:015:025	But now I go unto Jerusalem to minister unto the saints.
45:015:026	For it hath pleased them of Macedonia and Achaia to make a certain contribution for the poor saints which are at Jerusalem.
45:015:027	It hath pleased them verily; and their debtors they are. For if the Gentiles have been made partakers of their spiritual things, their duty is also to minister unto them in carnal things.
45:015:028	When therefore I have performed this, and have sealed to them this fruit, I will come by you into Spain.
45:015:029	And I am sure that, when I come unto you, I shall come in the fulness of the blessing of the gospel of Christ.
45:015:030	Now I beseech you, brethren, for the Lord Jesus Christ's sake, and for the love of the Spirit, that ye strive together with me in your prayers to God for me;
45:015:031	That I may be delivered from them that do not believe in Judaea; and that my service which I have for Jerusalem may be accepted of the saints;
45:015:032	That I may come unto you with joy by the will of God, and may with you be refreshed.
45:015:033	Now the God of peace be with you all. Amen.
45:016:001	I commend unto you Phebe our sister, which is a servant of the church which is at Cenchrea:
45:016:002	That ye receive her in the Lord, as becometh saints, and that ye assist her in whatsoever business she hath need of you: for she hath been a succourer of many, and of myself also.
45:016:003	Greet Priscilla and Aquila my helpers in Christ Jesus:
45:016:004	Who have for my life laid down their own necks: unto whom not only I give thanks, but also all the churches of the Gentiles.
45:016:005	Likewise greet the church that is in their house. Salute my well-beloved Epaenetus, who is the firstfruits of Achaia unto Christ.
45:016:006	Greet Mary, who bestowed much labour on us.
45:016:007	Salute Andronicus and Junia, my kinsmen, and my fellow-prisoners, who are of note among the apostles, who also were in Christ before me.
45:016:008	Greet Amplias my beloved in the Lord.
45:016:009	Salute Urbane, our helper in Christ, and Stachys my beloved.
45:016:010	Salute Apelles approved in Christ. Salute them which are of Aristobulus' household.
45:016:011	Salute Herodion my kinsman. Greet them that be of the household of Narcissus, which are in the Lord.
45:016:012	Salute Tryphena and Tryphosa, who labour in the Lord. Salute the beloved Persis, which laboured much in the Lord.
45:016:013	Salute Rufus chosen in the Lord, and his mother and mine.
45:016:014	Salute Asyncritus, Phlegon, Hermas, Patrobas, Hermes, and the brethren which are with them.
45:016:015	Salute Philologus, and Julia, Nereus, and his sister, and Olympas, and all the saints which are with them.
45:016:016	Salute one another with an holy kiss. The churches of Christ salute you.
45:016:017	Now I beseech you, brethren, mark them which cause divisions and offences contrary to the doctrine which ye have learned; and avoid them.
45:016:018	For they that are such serve not our Lord Jesus Christ, but their own belly; and by good words and fair speeches deceive the hearts of the simple.
45:016:019	For your obedience is come abroad unto all men. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil.
45:016:020	And the God of peace shall bruise Satan under your feet shortly. The grace of our Lord Jesus Christ be with you. Amen.
45:016:021	Timotheus my workfellow, and Lucius, and Jason, and Sosipater, my kinsmen, salute you.
45:016:022	I Tertius, who wrote this epistle, salute you in the Lord.
45:016:023	Gaius mine host, and of the whole church, saluteth you. Erastus the chamberlain of the city saluteth you, and Quartus a brother.
45:016:024	The grace of our Lord Jesus Christ be with you all. Amen.
45:016:025	Now to him that is of power to stablish you according to my gospel, and the preaching of Jesus Christ, according to the revelation of the mystery, which was kept secret since the world began,
45:016:026	But now is made manifest, and by the scriptures of the prophets, according to the commandment of the everlasting God, made known to all nations for the obedience of faith:
45:016:027	To God only wise, be glory through Jesus Christ for ever. Amen.
